"id", "english", "francais"
"title", "Laser cutter parameters", "Parametres de decoupe laser"
"date", "date","date"
"seller", "seller", "vendeur"
"material", "material", "materiel"
"thickness","thickness (mm)","epaisseur (mm)"
"speed", "speed (mm/s)", "vitesse (mm/s)"
"minpuiss", "min power", "puissance min"
"maxpuiss", "max power", "puissance max"
"date:", "Date :","Date :"
"seller:", "Seller :", "Vendeur :"
"material:", "Material :", "Materiel :"
"thickness:","Thickness (mm) :","Epaisseur (mm) :"
"speed:", "Speed (mm/s) :", "Vitesse (mm/s) :"
"minpuiss:", "Minimum power :", "Puissance minimale :"
"maxpuiss:", "Maximum power :", "Puissance maximale :"
"add", "Add", "Ajouter"
"predict", "Predict", "Prevoir"
"show","Show","Montrer"
